FlowID,SrcIP,DstIP,SrcPort,DstPort,Protocol,FlowDuration,TotFwdPkts,TotBwdPkts,TotLenFwd,TotLenBwd,FwdPktLenMean,FwdPktLenStd,FwdPktLenMin,FwdPktLenMax,BwdPktLenMean,BwdPktLenStd,BwdPktLenMin,BwdPktLenMax,FlowIATMean,FlowIATStd,FlowIATMin,FlowIATMax,FwdIATMean,FwdIATStd,FwdIATMin,FwdIATMax,BwdIATMean,BwdIATStd,BwdIATMin,BwdIATMax,TotalFwdIAT,TotalBwdIAT,TotalBytes,TotalPackets,BytesPerSec,PktsPerSec,FwdBwdPktRatio,FwdBwdByteRatio,FwdPktLenPct25,FwdPktLenPct50,FwdPktLenPct75,FwdPktLenPct90,BwdPktLenPct25,BwdPktLenPct50,BwdPktLenPct75,BwdPktLenPct90,FlowIAT25,FlowIAT50,FlowIAT75,FlowIAT90,FwdIAT25,FwdIAT50,FwdIAT75,FwdIAT90,BwdIAT25,BwdIAT50,BwdIAT75,BwdIAT90,Fwd_SYN,Fwd_FIN,Fwd_RST,Fwd_PSH,Fwd_ACK,Fwd_URG,Bwd_SYN,Bwd_FIN,Bwd_RST,Bwd_PSH,Bwd_ACK,Bwd_URG,MinActive,MeanActive,MaxActive,StdActive,MinIdle,MeanIdle,MaxIdle,StdIdle,SrcPortCat,DstPortCat
1,192.168.1.10,74.125.160.199,62826,443,TCP,0.0,1,0,1462,0,1462.0,0.0,1462,1462,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1462,1,0.0,0.0,0.0,0.0,1462.0,1462.0,1462.0,1462.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,Web
2,192.168.1.10,74.125.160.199,62827,443,TCP,0.0,2,0,1947,0,973.5,488.5,485,1462,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1947,2,0.0,0.0,0.0,0.0,729.25,973.5,1217.75,1364.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,Web
3,192.168.1.10,74.125.160.199,62830,443,TCP,0.0,1,0,1462,0,1462.0,0.0,1462,1462,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1462,1,0.0,0.0,0.0,0.0,1462.0,1462.0,1462.0,1462.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,Web
4,192.168.1.10,74.125.160.199,62832,443,TCP,0.0,2,0,2126,0,1063.0,399.0,664,1462,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,2126,2,0.0,0.0,0.0,0.0,863.5,1063.0,1262.5,1382.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,Web
5,192.168.1.10,74.125.160.199,62833,443,TCP,0.0,1,0,1462,0,1462.0,0.0,1462,1462,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1462,1,0.0,0.0,0.0,0.0,1462.0,1462.0,1462.0,1462.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,Web
6,192.168.1.10,103.65.250.143,62837,443,TCP,0.019984006881713867,2,0,2932,0,1466.0,0.0,1466,1466,0.0,0.0,0,0,0.019984006881713867,0.0,0.019984006881713867,0.019984006881713867,0.019984006881713867,0.0,0.019984006881713867,0.019984006881713867,0,0,0,0,0.019984006881713867,0.0,2932,2,146717.32337536835,100.08002958756367,0.0,0.0,1466.0,1466.0,1466.0,1466.0,0.0,0.0,0.0,0.0,0.019984006881713867,0.019984006881713867,0.019984006881713867,0.019984006881713867,0.019984006881713867,0.019984006881713867,0.019984006881713867,0.019984006881713867,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0.019984006881713867,0.019984006881713867,0.019984006881713867,0.0,0,0,0,0,Other,Web
7,192.168.1.10,103.65.250.143,62840,443,TCP,0.042275190353393555,3,0,3529,0,1176.3333333333333,409.6505285674065,597,1466,0.0,0.0,0,0,0.021137595176696777,0.021137595176696777,0.0,0.042275190353393555,0.021137595176696777,0.021137595176696777,0.0,0.042275190353393555,0,0,0,0,0.042275190353393555,0.0,3529,3,83476.85653216028,70.96360713983589,0.0,0.0,1031.5,1466.0,1466.0,1466.0,0.0,0.0,0.0,0.0,0.010568797588348389,0.021137595176696777,0.031706392765045166,0.0380476713180542,0.010568797588348389,0.021137595176696777,0.031706392765045166,0.0380476713180542,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0.042275190353393555,0.042275190353393555,0.042275190353393555,0.0,0,0,0,0,Other,Web
8,192.168.1.10,74.125.160.199,62841,443,TCP,0.0,2,0,2062,0,1031.0,431.0,600,1462,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,2062,2,0.0,0.0,0.0,0.0,815.5,1031.0,1246.5,1375.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,Web
9,192.168.1.10,103.168.200.205,62844,443,TCP,0.0,2,0,1884,0,942.0,524.0,418,1466,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1884,2,0.0,0.0,0.0,0.0,680.0,942.0,1204.0,1361.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,Web
10,192.168.1.10,103.168.200.207,62851,443,TCP,0.0,1,0,1466,0,1466.0,0.0,1466,1466,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1466,1,0.0,0.0,0.0,0.0,1466.0,1466.0,1466.0,1466.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,Web
