FlowID,SrcIP,DstIP,SrcPort,DstPort,Protocol,FlowDuration,TotFwdPkts,TotBwdPkts,TotLenFwd,TotLenBwd,FwdPktLenMean,FwdPktLenStd,FwdPktLenMin,FwdPktLenMax,BwdPktLenMean,BwdPktLenStd,BwdPktLenMin,BwdPktLenMax,FlowIATMean,FlowIATStd,FlowIATMin,FlowIATMax,FwdIATMean,FwdIATStd,FwdIATMin,FwdIATMax,BwdIATMean,BwdIATStd,BwdIATMin,BwdIATMax,TotalFwdIAT,TotalBwdIAT,TotalBytes,TotalPackets,BytesPerSec,PktsPerSec,FwdBwdPktRatio,FwdBwdByteRatio,FwdPktLenPct25,FwdPktLenPct50,FwdPktLenPct75,FwdPktLenPct90,BwdPktLenPct25,BwdPktLenPct50,BwdPktLenPct75,BwdPktLenPct90,FlowIAT25,FlowIAT50,FlowIAT75,FlowIAT90,FwdIAT25,FwdIAT50,FwdIAT75,FwdIAT90,BwdIAT25,BwdIAT50,BwdIAT75,BwdIAT90,Fwd_SYN,Fwd_FIN,Fwd_RST,Fwd_PSH,Fwd_ACK,Fwd_URG,Bwd_SYN,Bwd_FIN,Bwd_RST,Bwd_PSH,Bwd_ACK,Bwd_URG,MinActive,MeanActive,MaxActive,StdActive,MinIdle,MeanIdle,MaxIdle,StdIdle,SrcPortCat,DstPortCat
1,23.61.114.97,192.168.1.101,443,32812,TCP,1.0233139991760254,4,6,2411,1177,602.75,466.0329253389722,54,1302,196.16666666666666,144.8613321613313,54,384,0.11370155546400282,0.23677641263774524,0.000141143798828125,0.782127857208252,0.3153853416442871,0.38957207270957483,0.019112110137939453,0.8657858371734619,0.20093560218811035,0.292821344435364,0.000141143798828125,0.782127857208252,0.9461560249328613,1.0046780109405518,3588,10,3506.255169858973,9.772171599383983,0.6666666666666666,2.048428207306712,271.5,527.5,858.75,1124.7,54.0,171.0,329.25,363.5,0.019112110137939453,0.03427004814147949,0.04288792610168457,0.1971087455749513,0.04018509387969971,0.06125807762145996,0.46352195739746094,0.7048802852630616,0.03427004814147949,0.0934760570526123,0.09466290473937988,0.5071418762207032,0,0,0,3,4,0,0,0,1,3,6,0,1.0233139991760254,1.0233139991760254,1.0233139991760254,0.0,0,0,0,0,Web,Other
2,192.168.1.101,52.123.128.14,32806,443,TCP,0.34717798233032227,2,2,721,981,360.5,306.5,54,667,490.5,436.5,54,927,0.11572599411010742,0.15106589698062275,9.489059448242188e-05,0.3291161060333252,0.34717798233032227,0.0,0.34717798233032227,0.34717798233032227,0.3291161060333252,0.0,0.3291161060333252,0.3291161060333252,0.34717798233032227,0.3291161060333252,1702,4,4902.384617180686,11.521467960471648,1.0,0.7349643221202854,207.25,360.5,513.75,605.7,272.25,490.5,708.75,839.7,0.009030938148498535,0.01796698570251465,0.17354154586791992,0.26688628196716313,0.34717798233032227,0.34717798233032227,0.34717798233032227,0.34717798233032227,0.3291161060333252,0.3291161060333252,0.3291161060333252,0.3291161060333252,0,0,0,1,2,0,0,0,0,1,2,0,0.34717798233032227,0.34717798233032227,0.34717798233032227,0.0,0,0,0,0,Other,Web
3,20.249.168.26,192.168.1.101,443,8303,TCP,0.2964351177215576,4,3,432,1312,108.0,58.54912467321779,54,194,437.3333333333333,246.32543965701598,89,615,0.049405852953592934,0.07016431535135138,0.0,0.17780113220214844,0.09881170590718587,0.07461147667260677,0.0,0.18027210235595703,0.05860400199890137,0.05591702461242676,0.0026869773864746094,0.11452102661132812,0.2964351177215576,0.11720800399780273,1744,7,5883.243569131187,23.613936343989852,1.3333333333333333,0.32926829268292684,54.0,92.0,146.0,174.8,348.5,608.0,611.5,613.6,0.0016872286796569824,0.0025789737701416016,0.0847092866897583,0.14492559432983398,0.05808150768280029,0.11616301536560059,0.1482175588607788,0.16745028495788575,0.03064548969268799,0.05860400199890137,0.08656251430511475,0.10333762168884278,0,0,0,2,4,0,0,0,0,3,3,0,0.2964351177215576,0.2964351177215576,0.2964351177215576,0.0,0,0,0,0,Web,Other
4,192.168.1.101,13.107.226.254,32810,443,TCP,0.24767088890075684,2,1,108,54,54.0,0.0,54,54,54.0,0.0,54,54,0.12383544445037842,0.12375843524932861,7.700920104980469e-05,0.24759387969970703,0.24767088890075684,0.0,0.24767088890075684,0.24767088890075684,0,0,0,0,0.24767088890075684,0.0,162,3,654.0938287862904,12.1128486812276,2.0,2.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,0.06195622682571411,0.12383544445037842,0.18571466207504272,0.22284219264984131,0.24767088890075684,0.24767088890075684,0.24767088890075684,0.24767088890075684,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0.24767088890075684,0.24767088890075684,0.24767088890075684,0.0,0,0,0,0,Other,Web
5,192.168.1.101,13.107.213.254,32809,443,TCP,0.019804954528808594,2,1,108,54,54.0,0.0,54,54,54.0,0.0,54,54,0.009902477264404297,0.009839534759521484,6.29425048828125e-05,0.01974201202392578,0.019804954528808594,0.0,0.019804954528808594,0.019804954528808594,0,0,0,0,0.019804954528808594,0.0,162,3,8179.771368035826,151.477247556219,2.0,2.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,0.004982709884643555,0.009902477264404297,0.014822244644165039,0.017774105072021484,0.019804954528808594,0.019804954528808594,0.019804954528808594,0.019804954528808594,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0.019804954528808594,0.019804954528808594,0.019804954528808594,0.0,0,0,0,0,Other,Web
6,192.168.1.101,13.107.4.254,32808,443,TCP,0.017739057540893555,2,2,108,108,54.0,0.0,54,54,54.0,0.0,54,54,0.0059130191802978516,0.00830939168462921,0.0,0.017664194107055664,0.017739057540893555,0.0,0.017739057540893555,0.017739057540893555,0.0,0.0,0.0,0.0,0.017739057540893555,0.0,216,4,12176.52062416838,225.49112266978483,1.0,1.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,3.743171691894531e-05,7.486343383789062e-05,0.008869528770446777,0.01414632797241211,0.017739057540893555,0.017739057540893555,0.017739057540893555,0.017739057540893555,0.0,0.0,0.0,0.0,0,1,0,0,2,0,0,1,0,0,2,0,0.017739057540893555,0.017739057540893555,0.017739057540893555,0.0,0,0,0,0,Other,Web
7,192.168.1.101,204.79.197.222,32811,443,TCP,0.31881022453308105,2,2,108,108,54.0,0.0,54,54,54.0,0.0,54,54,0.10627007484436035,0.13801019038312634,7.700920104980469e-05,0.30118513107299805,0.31881022453308105,0.0,0.31881022453308105,0.31881022453308105,0.30118513107299805,0.0,0.30118513107299805,0.30118513107299805,0.31881022453308105,0.30118513107299805,216,4,677.519048569871,12.546649047590202,1.0,1.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,0.008812546730041504,0.017548084259033203,0.15936660766601562,0.24445772171020508,0.31881022453308105,0.31881022453308105,0.31881022453308105,0.31881022453308105,0.30118513107299805,0.30118513107299805,0.30118513107299805,0.30118513107299805,0,1,0,0,2,0,0,1,0,0,2,0,0.31881022453308105,0.31881022453308105,0.31881022453308105,0.0,0,0,0,0,Other,Web
8,192.168.1.101,64.233.170.188,8301,5228,TCP,0.04917502403259277,1,1,55,66,55.0,0.0,55,55,66.0,0.0,66,66,0.04917502403259277,0.0,0.04917502403259277,0.04917502403259277,0,0,0,0,0,0,0,0,0.0,0.0,121,2,2460.598695789193,40.67105282296187,1.0,0.8333333333333334,55.0,55.0,55.0,55.0,66.0,66.0,66.0,66.0,0.04917502403259277,0.04917502403259277,0.04917502403259277,0.04917502403259277,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.04917502403259277,0.04917502403259277,0.04917502403259277,0.0,0,0,0,0,Other,Social
9,192.168.1.101,52.187.79.109,8302,443,TCP,0.056823015213012695,1,1,55,66,55.0,0.0,55,55,66.0,0.0,66,66,0.056823015213012695,0.0,0.056823015213012695,0.056823015213012695,0,0,0,0,0,0,0,0,0.0,0.0,121,2,2129.418855131266,35.19700586993828,1.0,0.8333333333333334,55.0,55.0,55.0,55.0,66.0,66.0,66.0,66.0,0.056823015213012695,0.056823015213012695,0.056823015213012695,0.056823015213012695,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.056823015213012695,0.056823015213012695,0.056823015213012695,0.0,0,0,0,0,Other,Web
10,172.64.151.4,192.168.1.101,443,33745,TCP,0.017214059829711914,3,2,297,256,99.0,63.63961030678928,54,189,128.0,46.0,82,174,0.0043035149574279785,0.0069852827499568395,0.0,0.016398191452026367,0.008607029914855957,0.008607029914855957,0.0,0.017214059829711914,0.0005178451538085938,0.0,0.0005178451538085938,0.0005178451538085938,0.017214059829711914,0.0005178451538085938,553,5,32124.902868381323,290.4602429329234,1.5,1.16015625,54.0,54.0,121.5,162.0,105.0,128.0,151.0,164.8,0.00022351741790771484,0.00040793418884277344,0.004487931728363037,0.011634087562561037,0.0043035149574279785,0.008607029914855957,0.012910544872283936,0.015492653846740723,0.0005178451538085938,0.0005178451538085938,0.0005178451538085938,0.0005178451538085938,0,0,0,1,3,0,0,0,0,2,2,0,0.017214059829711914,0.017214059829711914,0.017214059829711914,0.0,0,0,0,0,Web,Other
