FlowID,SrcIP,DstIP,SrcPort,DstPort,Protocol,FlowDuration,TotFwdPkts,TotBwdPkts,TotLenFwd,TotLenBwd,FwdPktLenMean,FwdPktLenStd,FwdPktLenMin,FwdPktLenMax,BwdPktLenMean,BwdPktLenStd,BwdPktLenMin,BwdPktLenMax,FlowIATMean,FlowIATStd,FlowIATMin,FlowIATMax,FwdIATMean,FwdIATStd,FwdIATMin,FwdIATMax,BwdIATMean,BwdIATStd,BwdIATMin,BwdIATMax,TotalFwdIAT,TotalBwdIAT,TotalBytes,TotalPackets,BytesPerSec,PktsPerSec,FwdBwdPktRatio,FwdBwdByteRatio,FwdPktLenPct25,FwdPktLenPct50,FwdPktLenPct75,FwdPktLenPct90,BwdPktLenPct25,BwdPktLenPct50,BwdPktLenPct75,BwdPktLenPct90,FlowIAT25,FlowIAT50,FlowIAT75,FlowIAT90,FwdIAT25,FwdIAT50,FwdIAT75,FwdIAT90,BwdIAT25,BwdIAT50,BwdIAT75,BwdIAT90,Fwd_SYN,Fwd_FIN,Fwd_RST,Fwd_PSH,Fwd_ACK,Fwd_URG,Bwd_SYN,Bwd_FIN,Bwd_RST,Bwd_PSH,Bwd_ACK,Bwd_URG,MinActive,MeanActive,MaxActive,StdActive,MinIdle,MeanIdle,MaxIdle,StdIdle,SrcPortCat,DstPortCat
1,fe80::a48d:d7ff:fe86:3a84,ff02::fb,5353,5353,UDP,20.13436007499695,2,0,278,0,139.0,0.0,139,139,0.0,0.0,0,0,20.13436007499695,0.0,20.13436007499695,20.13436007499695,20.13436007499695,0.0,20.13436007499695,20.13436007499695,0,0,0,0,20.13436007499695,0.0,278,2,13.807242890486657,0.09933268266537162,0.0,0.0,139.0,139.0,139.0,139.0,0.0,0.0,0.0,0.0,20.13436007499695,20.13436007499695,20.13436007499695,20.13436007499695,20.13436007499695,20.13436007499695,20.13436007499695,20.13436007499695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,20.13436007499695,20.13436007499695,20.13436007499695,0.0,Other,Other
2,192.168.1.101,103.199.160.80,54583,53,UDP,0.01377415657043457,1,1,84,143,84.0,0.0,84,84,143.0,0.0,143,143,0.01377415657043457,0.0,0.01377415657043457,0.01377415657043457,0,0,0,0,0,0,0,0,0.0,0.0,227,2,16480.137919097157,145.199453031693,1.0,0.5874125874125874,84.0,84.0,84.0,84.0,143.0,143.0,143.0,143.0,0.01377415657043457,0.01377415657043457,0.01377415657043457,0.01377415657043457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01377415657043457,0.01377415657043457,0.01377415657043457,0.0,0,0,0,0,Other,System
3,192.168.1.101,103.199.160.80,53808,53,UDP,0.01196908950805664,1,1,84,185,84.0,0.0,84,84,185.0,0.0,185,185,0.01196908950805664,0.0,0.01196908950805664,0.01196908950805664,0,0,0,0,0,0,0,0,0.0,0.0,269,2,22474.558304450024,167.09708776542766,1.0,0.4540540540540541,84.0,84.0,84.0,84.0,185.0,185.0,185.0,185.0,0.01196908950805664,0.01196908950805664,0.01196908950805664,0.01196908950805664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01196908950805664,0.01196908950805664,0.01196908950805664,0.0,0,0,0,0,Other,System
4,192.168.1.101,172.67.71.13,63024,443,TCP,10.017810106277466,18,21,3684,6873,204.66666666666666,329.1748944119389,54,1454,327.2857142857143,425.3037170078346,54,1494,0.26362658174414383,1.3453963623595009,0.0,8.408244848251343,0.5892829474280862,1.9654616640251301,0.0,8.408244848251343,0.49928845167160035,1.829956162722648,0.0,8.44009017944336,10.017810106277466,9.985769033432007,10557,39,1053.8231298060502,3.8930664073539796,0.8571428571428571,0.5360104757747708,54.0,75.5,144.5,465.8,54.0,85.0,456.0,640.0,7.230043411254883e-05,0.0004875659942626953,0.0311582088470459,0.11497728824615583,0.0004761219024658203,0.013570785522460938,0.03665900230407715,0.5199987411499025,0.0,0.01842343807220459,0.04305315017700195,0.33263244628906313,1,1,0,8,17,0,1,1,0,11,21,0,0.03190016746520996,0.8047826290130615,1.577665090560913,0.7728824615478516,8.408244848251343,8.408244848251343,8.408244848251343,0.0,Other,Web
5,192.168.1.101,103.199.160.80,61859,53,UDP,0.011229991912841797,1,1,78,137,78.0,0.0,78,78,137.0,0.0,137,137,0.011229991912841797,0.0,0.011229991912841797,0.011229991912841797,0,0,0,0,0,0,0,0,0.0,0.0,215,2,19145.16071504395,178.0945182794786,1.0,0.5693430656934306,78.0,78.0,78.0,78.0,137.0,137.0,137.0,137.0,0.011229991912841797,0.011229991912841797,0.011229991912841797,0.011229991912841797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011229991912841797,0.011229991912841797,0.011229991912841797,0.0,0,0,0,0,Other,System
6,192.168.1.101,103.199.160.80,49665,53,UDP,0.010585784912109375,1,1,78,164,78.0,0.0,78,78,164.0,0.0,164,164,0.010585784912109375,0.0,0.010585784912109375,0.010585784912109375,0,0,0,0,0,0,0,0,0.0,0.0,242,2,22860.846126126125,188.93261261261262,1.0,0.47560975609756095,78.0,78.0,78.0,78.0,164.0,164.0,164.0,164.0,0.010585784912109375,0.010585784912109375,0.010585784912109375,0.010585784912109375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010585784912109375,0.010585784912109375,0.010585784912109375,0.0,0,0,0,0,Other,System
7,192.168.1.101,185.173.160.139,56926,443,TCP,10.099581003189087,19,18,3894,7052,204.94736842105263,333.63839134201163,54,1494,391.77777777777777,525.5624030561669,54,1494,0.2805439167552524,1.0699665745187374,0.0,6.485947132110596,0.5610878335105048,1.4661142890159828,0.0,6.485947132110596,0.5835407060735366,1.6672697763935496,0.0,7.125049829483032,10.099581003189087,9.920192003250122,10946,37,1083.8073378037807,3.663518317078374,1.0555555555555556,0.55218377765173,54.0,89.0,126.0,469.5999999999999,54.0,129.0,313.25,1302.9,0.0001353621482849121,0.0026415586471557617,0.17851990461349487,0.29208993911743164,0.000779271125793457,0.17890751361846924,0.2985925078392029,0.8802697658538821,0.0001499652862548828,0.022621870040893555,0.18671298027038574,0.8900532722473147,1,1,0,10,18,0,1,1,0,9,18,0,0.17832493782043457,0.8359416325887045,1.4366199970245361,0.5152721572788163,1.105808973312378,3.795878052711487,6.485947132110596,2.690069079399109,Other,Web
8,192.168.1.101,172.217.24.142,59103,443,UDP,22.28547692298889,14,12,4441,2518,317.2142857142857,454.3818687547526,71,1288,209.83333333333334,208.7246325238644,66,607,0.8914190769195557,4.260908947579179,0.0,21.76456594467163,1.7110783870403583,5.796797013975199,9.107589721679688e-05,21.79092288017273,2.02284236387773,6.250253720926368,0.0,21.786673069000244,22.244019031524658,22.25126600265503,6959,26,312.26614642567273,1.166679092839128,1.1666666666666667,1.7637013502779983,74.0,75.5,146.0,1185.7000000000003,69.0,76.0,291.0,545.4,0.00015497207641601562,0.0009131431579589844,0.026356935501098633,0.08086533546447763,0.00015497207641601562,0.012309074401855469,0.060281991958618164,0.17110171318054204,0.0005865097045898438,0.014837026596069336,0.0927349328994751,0.22499704360961914,0,0,0,0,0,0,0,0,0,0,0,0,0.20875000953674316,0.26045548915863037,0.3121609687805176,0.05170547962188721,21.76456594467163,21.76456594467163,21.76456594467163,0.0,Other,Web
9,192.168.1.101,103.199.160.80,56378,53,TCP,3.017829179763794,3,0,198,0,66.0,0.0,66,66,0.0,0.0,0,0,1.508914589881897,0.5046545267105103,1.0042600631713867,2.0135691165924072,1.508914589881897,0.5046545267105103,1.0042600631713867,2.0135691165924072,0,0,0,0,3.017829179763794,0.0,198,3,65.61007539051548,0.9940920513714466,0.0,0.0,66.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,1.2565873265266418,1.508914589881897,1.761241853237152,1.912638211250305,1.2565873265266418,1.508914589881897,1.761241853237152,1.912638211250305,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0042600631713867,1.508914589881897,2.0135691165924072,0.5046545267105103,Other,System
10,192.168.1.101,103.199.160.80,49933,53,TCP,3.017673969268799,3,0,198,0,66.0,0.0,66,66,0.0,0.0,0,0,1.5088369846343994,0.5047149658203125,1.004122018814087,2.013551950454712,1.5088369846343994,0.5047149658203125,1.004122018814087,2.013551950454712,0,0,0,0,3.017673969268799,0.0,198,3,65.61344996721984,0.9941431813215126,0.0,0.0,66.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,1.2564795017242432,1.5088369846343994,1.7611944675445557,1.9126089572906495,1.2564795017242432,1.5088369846343994,1.7611944675445557,1.9126089572906495,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.004122018814087,1.5088369846343994,2.013551950454712,0.5047149658203125,Other,System
