FlowID,SrcIP,DstIP,SrcPort,DstPort,Protocol,FlowDuration,TotFwdPkts,TotBwdPkts,TotLenFwd,TotLenBwd,FwdPktLenMean,FwdPktLenStd,FwdPktLenMin,FwdPktLenMax,BwdPktLenMean,BwdPktLenStd,BwdPktLenMin,BwdPktLenMax,FlowIATMean,FlowIATStd,FlowIATMin,FlowIATMax,FwdIATMean,FwdIATStd,FwdIATMin,FwdIATMax,BwdIATMean,BwdIATStd,BwdIATMin,BwdIATMax,TotalFwdIAT,TotalBwdIAT,TotalBytes,TotalPackets,BytesPerSec,PktsPerSec,FwdBwdPktRatio,FwdBwdByteRatio,FwdPktLenPct25,FwdPktLenPct50,FwdPktLenPct75,FwdPktLenPct90,BwdPktLenPct25,BwdPktLenPct50,BwdPktLenPct75,BwdPktLenPct90,FlowIAT25,FlowIAT50,FlowIAT75,FlowIAT90,FwdIAT25,FwdIAT50,FwdIAT75,FwdIAT90,BwdIAT25,BwdIAT50,BwdIAT75,BwdIAT90,Fwd_SYN,Fwd_FIN,Fwd_RST,Fwd_PSH,Fwd_ACK,Fwd_URG,Bwd_SYN,Bwd_FIN,Bwd_RST,Bwd_PSH,Bwd_ACK,Bwd_URG,MinActive,MeanActive,MaxActive,StdActive,MinIdle,MeanIdle,MaxIdle,StdIdle,SrcPortCat,DstPortCat
1,10.32.1.210,224.0.0.251,5353,5353,UDP,29.63943099975586,409,0,24540,0,60.0,0.0,60,60,0.0,0.0,0,0,0.07264566421508789,0.26531804495844613,0.0,2.503060817718506,0.07264566421508789,0.26531804495844613,0.0,2.503060817718506,0,0,0,0,29.63943099975586,0.0,24540,409,827.9511168821741,13.799185281369569,0.0,0.0,60.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0.004712164402008057,0.01028597354888916,0.027516543865203857,0.10162520408630374,0.004712164402008057,0.01028597354888916,0.027516543865203857,0.10162520408630374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.053713381290436,4.368805885314941,1.2613319790352233,1.218757152557373,1.8871034213474818,2.503060817718506,0.4128375919576703,Other,Other
2,13.107.246.48,10.32.7.222,443,27857,TCP,0.06599283218383789,3,2,231,108,77.0,13.490737563232042,60,93,54.0,0.0,54,54,0.016498208045959473,0.028400992099248356,0.0,0.0656900405883789,0.032996416091918945,0.032996416091918945,0.0,0.06599283218383789,0.00017976760864257812,0.0,0.00017976760864257812,0.00017976760864257812,0.06599283218383789,0.00017976760864257812,339,5,5136.92152286538,75.76580417205575,1.5,2.138888888888889,69.0,78.0,85.5,90.0,54.0,54.0,54.0,54.0,9.226799011230469e-05,0.0001513957977294922,0.01655733585357666,0.04603695869445802,0.016498208045959473,0.032996416091918945,0.04949462413787842,0.0593935489654541,0.00017976760864257812,0.00017976760864257812,0.00017976760864257812,0.00017976760864257812,0,1,0,2,3,0,0,1,0,0,2,0,0.06599283218383789,0.06599283218383789,0.06599283218383789,0.0,0,0,0,0,Web,Other
3,fe80::ac49:2a0a:1b3d:6972,ff02::1:2,546,547,UDP,0.0,1,0,139,0,139.0,0.0,139,139,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,139,1,0.0,0.0,0.0,0.0,139.0,139.0,139.0,139.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System,System
4,10.32.6.180,224.0.0.251,5353,5353,UDP,26.96963906288147,22,0,4712,0,214.1818181818182,81.96819580768472,119,289,0.0,0.0,0,0,1.2842685268038796,1.3057156443828388,0.06598305702209473,4.0174009799957275,1.2842685268038796,1.3057156443828388,0.06598305702209473,4.0174009799957275,0,0,0,0,26.96963906288147,0.0,4712,22,174.71498187327109,0.8157320885424372,0.0,0.0,125.0,289.0,289.0,289.0,0.0,0.0,0.0,0.0,0.25055694580078125,0.9904580116271973,1.9992380142211914,4.003850936889648,0.25055694580078125,0.9904580116271973,1.9992380142211914,4.003850936889648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.4766661326090495,1.744081974029541,0.7112692951954535,1.0039241313934326,2.5199604299333362,4.0174009799957275,1.093353142132782,Other,Other
5,fe80::413a:b425:7c54:992e,ff02::fb,5353,5353,UDP,26.96947407722473,22,0,5152,0,234.1818181818182,81.96819580768472,139,309,0.0,0.0,0,0,1.284260670344035,1.3053656736224841,0.06832599639892578,4.0164899826049805,1.284260670344035,1.3053656736224841,0.06832599639892578,4.0164899826049805,0,0,0,0,26.96947407722473,0.0,5152,22,191.0307922671276,0.8157370787804361,0.0,0.0,145.0,309.0,309.0,309.0,0.0,0.0,0.0,0.0,0.2517399787902832,0.9894001483917236,1.999521017074585,4.003799915313721,0.2517399787902832,0.9894001483917236,1.999521017074585,4.003799915313721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.47684645652770996,1.743515968322754,0.7109938081605359,1.0039379596710205,2.519761774275038,4.0164899826049805,1.093090775333415,Other,Other
6,fe80::18b5:56a1:aa5d:c1f8,ff02::fb,5353,5353,UDP,29.028740167617798,64,0,4736,0,74.0,0.0,74,74,0.0,0.0,0,0,0.46077365345425075,0.5561830030373184,5.2928924560546875e-05,2.3150410652160645,0.46077365345425075,0.5561830030373184,5.2928924560546875e-05,2.3150410652160645,0,0,0,0,29.028740167617798,0.0,4736,64,163.14865793876623,2.2047115937671116,0.0,0.0,74.0,74.0,74.0,74.0,0.0,0.0,0.0,0.0,0.14244306087493896,0.24831008911132812,0.36496055126190186,1.381288433074952,0.14244306087493896,0.24831008911132812,0.36496055126190186,1.381288433074952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.1867319670590488,4.378431081771851,1.2848152484158928,1.0110881328582764,1.5974688529968262,2.3150410652160645,0.38575513722701227,Other,Other
7,10.32.7.222,35.223.238.178,60136,443,TCP,15.554746866226196,2,2,110,132,55.0,0.0,55,55,66.0,0.0,66,66,5.1849156220753985,6.942551587621822,0.27506184577941895,15.003166198730469,15.278228044509888,0.0,15.278228044509888,15.278228044509888,15.279685020446777,0.0,15.279685020446777,15.279685020446777,15.278228044509888,15.279685020446777,242,4,15.557951671039483,0.25715622596759474,1.0,0.8333333333333334,55.0,55.0,55.0,55.0,66.0,66.0,66.0,66.0,0.27579033374786377,0.2765188217163086,7.639842510223389,12.057836723327638,15.278228044509888,15.278228044509888,15.278228044509888,15.278228044509888,15.279685020446777,15.279685020446777,15.279685020446777,15.279685020446777,0,0,0,0,2,0,0,0,0,0,2,0,0.27506184577941895,0.27579033374786377,0.2765188217163086,0.0007284879684448242,15.003166198730469,15.003166198730469,15.003166198730469,0.0,Other,Web
8,10.32.6.179,255.255.255.255,56452,3956,UDP,0.0,1,0,60,0,60.0,0.0,60,60,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,60,1,0.0,0.0,0.0,0.0,60.0,60.0,60.0,60.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Other,Other
9,fe80::aa0c:7e60:dc28:8619,ff02::1:2,546,547,UDP,16.00458598136902,2,0,314,0,157.0,0.0,157,157,0.0,0.0,0,0,16.00458598136902,0.0,16.00458598136902,16.00458598136902,16.00458598136902,0.0,16.00458598136902,16.00458598136902,0,0,0,0,16.00458598136902,0.0,314,2,19.619376619022088,0.1249641822867649,0.0,0.0,157.0,157.0,157.0,157.0,0.0,0.0,0.0,0.0,16.00458598136902,16.00458598136902,16.00458598136902,16.00458598136902,16.00458598136902,16.00458598136902,16.00458598136902,16.00458598136902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,16.00458598136902,16.00458598136902,16.00458598136902,0.0,System,System
10,0.0.0.0,255.255.255.255,68,67,UDP,27.250301122665405,19,0,8782,0,462.2105263157895,121.35878904583038,342,590,0.0,0.0,0,0,1.5139056179258559,1.1524683123237704,0.05881905555725098,3.0043258666992188,1.5139056179258559,1.1524683123237704,0.05881905555725098,3.0043258666992188,0,0,0,0,27.250301122665405,0.0,8782,19,322.2716681356443,0.6972400016599,0.0,0.0,342.0,364.0,590.0,590.0,0.0,0.0,0.0,0.0,0.36944258213043213,1.1061583757400513,2.7140604853630066,3.0033665180206297,0.36944258213043213,1.1061583757400513,2.7140604853630066,3.0033665180206297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.45522957377963597,1.7644801139831543,0.6232390554127104,1.24074387550354,2.572581662072076,3.0043258666992188,0.5543328462008724,System,System
