FlowID,SrcIP,DstIP,SrcPort,DstPort,Protocol,FlowDuration,TotFwdPkts,TotBwdPkts,TotLenFwd,TotLenBwd,FwdPktLenMean,FwdPktLenStd,FwdPktLenMin,FwdPktLenMax,BwdPktLenMean,BwdPktLenStd,BwdPktLenMin,BwdPktLenMax,FlowIATMean,FlowIATStd,FlowIATMin,FlowIATMax,FwdIATMean,FwdIATStd,FwdIATMin,FwdIATMax,BwdIATMean,BwdIATStd,BwdIATMin,BwdIATMax,TotalFwdIAT,TotalBwdIAT,TotalBytes,TotalPackets,BytesPerSec,PktsPerSec,FwdBwdPktRatio,FwdBwdByteRatio,FwdPktLenPct25,FwdPktLenPct50,FwdPktLenPct75,FwdPktLenPct90,BwdPktLenPct25,BwdPktLenPct50,BwdPktLenPct75,BwdPktLenPct90,FlowIAT25,FlowIAT50,FlowIAT75,FlowIAT90,FwdIAT25,FwdIAT50,FwdIAT75,FwdIAT90,BwdIAT25,BwdIAT50,BwdIAT75,BwdIAT90,Fwd_SYN,Fwd_FIN,Fwd_RST,Fwd_PSH,Fwd_ACK,Fwd_URG,Bwd_SYN,Bwd_FIN,Bwd_RST,Bwd_PSH,Bwd_ACK,Bwd_URG,MinActive,MeanActive,MaxActive,StdActive,MinIdle,MeanIdle,MaxIdle,StdIdle,SrcPortCat,DstPortCat
1,35.223.238.178,192.168.1.42,443,10765,TCP,79.95130610466003,10,10,2191,1707,219.1,131.72581371925548,56,385,170.7,142.85030626498497,54,355,4.2079634791926335,8.629883963816944,0.0,30.000977039337158,8.883458349439833,10.987737071151832,0.0,30.265475034713745,8.883464124467638,10.756210822963679,0.004235982894897461,30.000977039337158,79.9511251449585,79.95117712020874,3898,20,48.75467568844134,0.2501522611002634,1.0,1.2835383714118336,99.0,230.5,334.0,359.8,54.0,54.5,336.0,355.0,6.449222564697266e-05,0.04865097999572754,0.2812376022338867,19.18955078125,0.0,0.0,19.39868402481079,21.99860796928406,0.28535914421081543,0.31313180923461914,19.068413972854614,21.739473819732666,0,0,0,8,10,0,0,0,0,4,10,0,0.0001289844512939453,0.2373220443725586,0.3173677921295166,0.11945280673671321,10.021206855773926,19.69117397069931,30.000977039337158,7.074397941185827,Web,Other
2,172.66.154.160,192.168.1.42,443,36718,TCP,79.35255289077759,17,16,1349,892,79.3529411764706,5.880587970508794,56,81,55.75,6.777720855862979,54,82,2.4797672778367996,3.00835716234928,0.0007030963897705078,9.912703037261963,4.956489622592926,2.5103148921271283,0.017847061157226562,9.95976996421814,5.28744060198466,2.2276943803069673,0.6773500442504883,9.961421966552734,79.30383396148682,79.3116090297699,2241,33,28.241057387083142,0.4158656375607959,1.0625,1.5123318385650224,81.0,81.0,81.0,81.0,54.0,54.0,54.0,54.0,0.04785740375518799,0.05467545986175537,4.948237419128418,5.907882547378541,4.140784740447998,5.0010164976119995,5.722589612007141,8.118836522102356,4.617608666419983,5.000958204269409,5.810205936431885,8.355669355392456,0,0,0,16,17,0,0,0,0,1,16,0,0.04094386100769043,0.09112512270609538,0.6780531406402588,0.15690221380344624,2.5607519149780273,5.5704054321561545,9.912703037261963,1.9189625903419976,Web,Other
3,35.166.10.37,192.168.1.42,443,51861,TCP,5.0456390380859375,4,3,918,162,229.5,289.117190772185,54,730,54.0,0.0,54,54,0.8409398396809896,1.7529645159835854,0.0,4.755885124206543,1.6818170547485352,2.3468990742266245,0.0,5.000733137130737,2.5227794647216797,2.2777435779571533,0.24503588676452637,4.800523042678833,5.0454511642456055,5.045558929443359,1080,7,214.04622721678044,1.3873366578865398,1.3333333333333333,5.666666666666667,55.5,67.0,241.0,534.4000000000001,54.0,54.0,54.0,54.0,0.00010704994201660156,0.022412896156311035,0.19479548931121826,2.5003665685653687,0.022359013557434082,0.044718027114868164,2.5227255821228027,4.009530115127564,1.383907675743103,2.5227794647216797,3.6616512537002563,4.344974327087402,0,1,0,2,4,0,0,1,1,0,3,0,0.044718027114868164,0.14487695693969727,0.24503588676452637,0.1001589298248291,4.755885124206543,4.755885124206543,4.755885124206543,0.0,Web,Other
4,18.161.246.120,192.168.1.42,443,35756,TCP,81.08739805221558,28,28,3192,1512,114.0,0.0,114,114,54.0,0.0,54,54,1.4743163282221015,1.4533748130436874,0.04022789001464844,2.9668779373168945,3.0012495164518005,0.005443519822390177,2.986208915710449,3.0104079246520996,3.001536634233263,0.009165205055819504,2.986677885055542,3.019914150238037,81.03373694419861,81.0414891242981,4704,56,58.011480365554426,0.6906128614946956,1.0,2.111111111111111,114.0,114.0,114.0,114.0,54.0,54.0,54.0,54.0,0.045464396476745605,0.054527997970581055,2.953723430633545,2.9619445323944094,2.9988930225372314,3.0010321140289307,3.0051865577697754,3.007567596435547,2.9927929639816284,3.0033631324768066,3.006693482398987,3.012468385696411,0,0,0,28,28,0,0,0,0,0,28,0,0.04022789001464844,0.04714577538626535,0.054527997970581055,0.005046732618633742,2.9358999729156494,2.954345049681487,2.9668779373168945,0.008070236028903964,Web,Other
5,35.166.10.37,192.168.1.42,443,5348,TCP,14.359442949295044,4,0,264,0,66.0,0.0,66,66,0.0,0.0,0,0,4.786480983098348,2.5621491491758297,2.011744976043701,8.191903114318848,4.786480983098348,2.5621491491758297,2.011744976043701,8.191903114318848,0,0,0,0,14.359442949295044,0.0,264,4,18.385114306468324,0.27856233797679275,0.0,0.0,66.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,3.083769917488098,4.155794858932495,6.173848986625671,7.384681463241577,3.083769917488098,4.155794858932495,6.173848986625671,7.384681463241577,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.011744976043701,4.786480983098348,8.191903114318848,2.5621491491758297,Web,Other
6,35.166.10.37,192.168.1.42,443,22934,TCP,14.325091123580933,4,0,264,0,66.0,0.0,66,66,0.0,0.0,0,0,4.7750303745269775,2.56684799047522,2.0056991577148438,8.192223072052002,4.7750303745269775,2.56684799047522,2.0056991577148438,8.192223072052002,0,0,0,0,14.325091123580933,0.0,264,4,18.42920214067066,0.279230335464707,0.0,0.0,66.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,3.0664340257644653,4.127168893814087,6.159695982933044,7.3792122364044195,3.0664340257644653,4.127168893814087,6.159695982933044,7.3792122364044195,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0056991577148438,4.7750303745269775,8.192223072052002,2.56684799047522,Web,Other
7,35.166.10.37,192.168.1.42,443,1409,TCP,14.398244142532349,4,0,264,0,66.0,0.0,66,66,0.0,0.0,0,0,4.799414714177449,2.5595618637095985,2.0139200687408447,8.194111108779907,4.799414714177449,2.5595618637095985,2.0139200687408447,8.194111108779907,0,0,0,0,14.398244142532349,0.0,264,4,18.33556907263054,0.2778116526156143,0.0,0.0,66.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,3.1020665168762207,4.190212965011597,6.192162036895752,7.393331480026245,3.1020665168762207,4.190212965011597,6.192162036895752,7.393331480026245,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0139200687408447,4.799414714177449,8.194111108779907,2.5595618637095985,Web,Other
8,35.166.10.37,192.168.1.42,443,21538,TCP,14.369898080825806,4,0,264,0,66.0,0.0,66,66,0.0,0.0,0,0,4.7899660269419355,2.5611937196117163,2.0162041187286377,8.194086074829102,4.7899660269419355,2.5611937196117163,2.0162041187286377,8.194086074829102,0,0,0,0,14.369898080825806,0.0,264,4,18.371737817143135,0.2783596638961081,0.0,0.0,66.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,3.087906002998352,4.159607887268066,6.176846981048584,7.387190437316895,3.087906002998352,4.159607887268066,6.176846981048584,7.387190437316895,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0162041187286377,4.7899660269419355,8.194086074829102,2.5611937196117163,Web,Other
9,35.166.10.37,192.168.1.42,443,51806,TCP,14.364614963531494,4,0,264,0,66.0,0.0,66,66,0.0,0.0,0,0,4.788204987843831,2.561451689658811,2.013608932495117,8.192373037338257,4.788204987843831,2.561451689658811,2.013608932495117,8.192373037338257,0,0,0,0,14.364614963531494,0.0,264,4,18.378494701754015,0.2784620409356669,0.0,0.0,66.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,3.0861209630966187,4.15863299369812,6.1755030155181885,7.38562502861023,3.0861209630966187,4.15863299369812,6.1755030155181885,7.38562502861023,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.013608932495117,4.788204987843831,8.192373037338257,2.561451689658811,Web,Other
10,18.161.246.120,192.168.1.42,443,42018,TCP,81.12886190414429,27,28,3078,1512,114.0,0.0,114,114,54.0,0.0,54,54,1.5023863315582275,1.453970828555904,0.04054403305053711,3.001136064529419,3.118593610250033,0.5758676441440357,2.9794020652770996,5.997258901596069,3.0031163339261657,0.012771359254472092,2.9768030643463135,3.0369298458099365,81.08343386650085,81.08414101600647,4590,55,56.576659554563896,0.6779338290851883,0.9642857142857143,2.0357142857142856,114.0,114.0,114.0,114.0,54.0,54.0,54.0,54.0,0.04831969738006592,1.4937195777893066,2.9542600512504578,2.9597519874572753,2.998982787132263,3.000795006752014,3.0077962279319763,3.0259299278259277,2.9952259063720703,3.001832962036133,3.005666971206665,3.018670415878296,0,0,0,27,27,0,0,0,0,0,28,0,0.0,0.04672644819532122,0.05606412887573242,0.009787821420303931,2.931375026702881,2.9563156057287148,3.001136064529419,0.015039367748009605,Web,Other
